primary_sector,companies,n_note,avg_completeness_pct,median_completeness_pct,funded_companies,funding_median_inr_mn,funding_total_inr_mn,revenue_known_n,revenue_median_inr_crore,small_sample_flag,notes
AI,2,sample-size protection: descriptive only,34.4,34.4,1,65.2,130.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
proptech,2,sample-size protection: descriptive only,92.8,92.8,2,74098.0,148196.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
proptech / flex workspace (managed offices),1,sample-size protection: descriptive only,87.5,87.5,1,5021.9,5021.9,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
proptech / property title search,1,sample-size protection: descriptive only,16.7,16.7,1,448.0,448.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
proptech / workforce housing,1,sample-size protection: descriptive only,77.1,77.1,1,7817.0,7817.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
proptech coworking,1,sample-size protection: descriptive only,43.8,43.8,1,3830.0,3830.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
proptech listings,1,sample-size protection: descriptive only,47.9,47.9,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
proptech services,1,sample-size protection: descriptive only,47.9,47.9,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
quick commerce,2,sample-size protection: descriptive only,65.6,65.6,2,119455.6,238911.1,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
quick home services,1,sample-size protection: descriptive only,25.0,25.0,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
regtech/id verification,1,sample-size protection: descriptive only,50.0,50.0,1,12533.9,12533.9,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
robotics / computer vision,1,sample-size protection: descriptive only,16.7,16.7,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
robotics / service robots (AMR),1,sample-size protection: descriptive only,16.7,16.7,1,330.6,330.6,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
robotics / water-sanitation infra (pipeline + septic-tank robots),1,sample-size protection: descriptive only,14.6,14.6,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
robotics humanoid,1,sample-size protection: descriptive only,29.2,29.2,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
robotics marine,1,sample-size protection: descriptive only,33.3,33.3,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
robotics vision,1,sample-size protection: descriptive only,95.8,95.8,1,1256.9,1256.9,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
saas,1,sample-size protection: descriptive only,45.8,45.8,1,12900.0,12900.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
saas accounting,1,sample-size protection: descriptive only,31.2,31.2,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
saas/api dev,1,sample-size protection: descriptive only,91.7,91.7,1,32934.5,32934.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
saas/billing,1,sample-size protection: descriptive only,91.7,91.7,1,35221.4,35221.4,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
semiconductor ai gpu,1,sample-size protection: descriptive only,72.9,72.9,1,5046.0,5046.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
semiconductor cgra,1,sample-size protection: descriptive only,16.7,16.7,1,420.0,420.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
"semiconductor design (RF chips, GaN)",1,sample-size protection: descriptive only,39.6,39.6,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
semiconductor motor control,1,sample-size protection: descriptive only,89.6,89.6,1,1904.0,1904.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
semiconductor power,1,sample-size protection: descriptive only,47.9,47.9,1,3092.7,3092.7,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
semiconductors,1,sample-size protection: descriptive only,68.8,68.8,1,862.1,862.1,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
semiconductors / electronics manufacturing,1,sample-size protection: descriptive only,16.7,16.7,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
social commerce,1,sample-size protection: descriptive only,6.2,6.2,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
social media,1,sample-size protection: descriptive only,93.8,93.8,1,142593.0,142593.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
spacetech,2,sample-size protection: descriptive only,78.2,78.2,2,8446.0,16892.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
spacetech / defence-photonics,1,sample-size protection: descriptive only,47.9,47.9,1,257.1,257.1,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
spacetech EO,1,sample-size protection: descriptive only,37.5,37.5,1,417.6,417.6,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
spacetech analytics,1,sample-size protection: descriptive only,85.4,85.4,1,10800.3,10800.3,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
spacetech infra,1,sample-size protection: descriptive only,20.8,20.8,1,5142.0,5142.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
spacetech launch,3,sample-size protection: descriptive only,50.0,56.2,3,2202.0,15555.8,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
spacetech ssa,1,sample-size protection: descriptive only,85.4,85.4,1,5466.9,5466.9,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
spiritual tech,1,sample-size protection: descriptive only,16.7,16.7,1,1044.0,1044.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
supply chain / pallets,1,sample-size protection: descriptive only,22.9,22.9,0,0,0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
travel AI,1,sample-size protection: descriptive only,41.7,41.7,1,674.5,674.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
travel villas,1,sample-size protection: descriptive only,89.6,89.6,1,2144.5,2144.5,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
travel-tech,1,sample-size protection: descriptive only,41.7,41.7,1,119980.0,119980.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
travel-tech / visas,1,sample-size protection: descriptive only,43.8,43.8,1,3132.0,3132.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
unknown,8,sample-size protection: descriptive only,6.2,6.2,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
used two-wheelers,1,sample-size protection: descriptive only,8.3,8.3,0,0.0,0.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
watertech / AI water-infrastructure management,1,sample-size protection: descriptive only,18.8,18.8,1,22.0,22.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
wealthtech,4,sample-size protection: descriptive only,56.2,53.1,3,1707.5,7330.0,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
wealthtech / financial services,1,sample-size protection: descriptive only,95.8,95.8,1,38200.4,38200.4,0,,n<10,aggregates over tracked companies per sector; funding equity-only INR Mn; revenue only where FINANCIALS unit is crore (INR)
